program	transformation	lhs	rhs	text
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Semicolon""), 1))), Concat(ConstStr("" W. ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr(""; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" J. ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), -1)))))))))"	"""Ambler, Scott; Sadalage, Pramodkumar""->Scott W. Ambler; Pramodkumar J. Sadalage"	"""Ambler, Scott; Sadalage, Pramodkumar"""	Scott W. Ambler; Pramodkumar J. Sadalage	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Semicolon""), 1))), Concat(ConstStr("" W. ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr(""; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" J. ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), -1)))))))))] [Transformation: ""Ambler, Scott; Sadalage, Pramodkumar"" transforms to Scott W. Ambler; Pramodkumar J. Sadalage]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Dotâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Semicolon""), 1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr(""; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpaceâ—¦Alphanumeric"", ""Îµ""), 1))), ConstStr(""\"""")))))))))"	"Scott W. Ambler; Pramodkumar J. Sadalage->""Ambler, Scott; Sadalage, Pramodkumar"""	Scott W. Ambler; Pramodkumar J. Sadalage	"""Ambler, Scott; Sadalage, Pramodkumar"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Dotâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Semicolon""), 1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr(""; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpaceâ—¦Alphanumeric"", ""Îµ""), 1))), ConstStr(""\"""")))))))))] [Transformation: Scott W. Ambler; Pramodkumar J. Sadalage transforms to ""Ambler, Scott; Sadalage, Pramodkumar""]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1))), ConstStr(""\""""))))))"	"The ACE Programmer's Guide: Practical Design Patterns for Network and Systems Programming->""ACE Programmer's Guide, The: Practical Design Patterns for Network and Systems Programming"""	The ACE Programmer's Guide: Practical Design Patterns for Network and Systems Programming	"""ACE Programmer's Guide, The: Practical Design Patterns for Network and Systems Programming"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Line Separator""), -1))), ConstStr(""\""""))))))] [Transformation: The ACE Programmer's Guide: Practical Design Patterns for Network and Systems Programming transforms to ""ACE Programmer's Guide, The: Practical Design Patterns for Network and Systems Programming""]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""',' or 'and'"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1))), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))))))"	"""ACE Programmer's Guide, The: Practical Design Patterns for Network and Systems Programming""->The ACE Programmer's Guide: Practical Design Patterns for Network and Systems Programming"	"""ACE Programmer's Guide, The: Practical Design Patterns for Network and Systems Programming"""	The ACE Programmer's Guide: Practical Design Patterns for Network and Systems Programming	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""',' or 'and'"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1))), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))))))] [Transformation: ""ACE Programmer's Guide, The: Practical Design Patterns for Network and Systems Programming"" transforms to The ACE Programmer's Guide: Practical Design Patterns for Network and Systems Programming]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Dotâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Semicolon""), 1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Dot""), 1))), Concat(ConstStr("".""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""ALL CAPSâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Semicolon""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Case"", ""Îµ""), 1))), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpace"", ""Îµ""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpace""), -1))), ConstStr(""\""""))))))))))))"	"Stephen D. Huston; James CE Johnson; Umar Syyid->""Huston, Stephen D.Johnson, James CESyyid, Umar"""	Stephen D. Huston; James CE Johnson; Umar Syyid	"""Huston, Stephen D.Johnson, James CESyyid, Umar"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Dotâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Semicolon""), 1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Dot""), 1))), Concat(ConstStr("".""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""ALL CAPSâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Semicolon""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Case"", ""Îµ""), 1))), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Semicolonâ—¦WhiteSpace"", ""Îµ""), -1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpace""), -1))), ConstStr(""\""""))))))))))))] [Transformation: Stephen D. Huston; James CE Johnson; Umar Syyid transforms to ""Huston, Stephen D.Johnson, James CESyyid, Umar""]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Dot""), 1))), Concat(ConstStr("". ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr(""; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumericâ—¦WhiteSpace""), -1), RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Case"", ""Îµ""), 1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Dot"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Dotâ—¦Camel Case"", ""Îµ""), 1))), Concat(ConstStr(""; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Case"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), -1)))))))))))))"	"""Huston, Stephen D.Johnson, James CESyyid, Umar""->Stephen D. Huston; James CE Johnson; Umar Syyid"	"""Huston, Stephen D.Johnson, James CESyyid, Umar"""	Stephen D. Huston; James CE Johnson; Umar Syyid	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Dot""), 1))), Concat(ConstStr("". ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), Concat(ConstStr(""; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumericâ—¦WhiteSpace""), -1), RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Case"", ""Îµ""), 1))), Concat(ConstStr("" ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Dot"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Dotâ—¦Camel Case"", ""Îµ""), 1))), Concat(ConstStr(""; ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Upper Caseâ—¦Upper Case"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), -1)))))))))))))] [Transformation: ""Huston, Stephen D.Johnson, James CESyyid, Umar"" transforms to Stephen D. Huston; James CE Johnson; Umar Syyid]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1))), ConstStr("" (Softcover) (CD-ROM)""))"	"""Kernel Projects for Linux, by Nutt""->Kernel Projects for Linux (Softcover) (CD-ROM)"	"""Kernel Projects for Linux, by Nutt"""	Kernel Projects for Linux (Softcover) (CD-ROM)	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Comma""), 1))), ConstStr("" (Softcover) (CD-ROM)""))] [Transformation: ""Kernel Projects for Linux, by Nutt"" transforms to Kernel Projects for Linux (Softcover) (CD-ROM)]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpaceâ—¦Left Parenthesis""), 1))), ConstStr("", by Nutt\"""")))"	"Kernel Projects for Linux (Softcover) (CD-ROM)->""Kernel Projects for Linux, by Nutt"""	Kernel Projects for Linux (Softcover) (CD-ROM)	"""Kernel Projects for Linux, by Nutt"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpaceâ—¦Left Parenthesis""), 1))), ConstStr("", by Nutt\"""")))] [Transformation: Kernel Projects for Linux (Softcover) (CD-ROM) transforms to ""Kernel Projects for Linux, by Nutt""]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Camel Case""), -1), RegexPositionRelative(x, RegexPair(""Camel Case"", ""Îµ""), -1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))"	"""Nutt, Gary J""->Gary Nutt"	"""Nutt, Gary J"""	Gary Nutt	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Camel Case""), -1), RegexPositionRelative(x, RegexPair(""Camel Case"", ""Îµ""), -1))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1)))))] [Transformation: ""Nutt, Gary J"" transforms to Gary Nutt]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), ConstStr("" J\"""")))))"	"Gary Nutt->""Nutt, Gary J"""	Gary Nutt	"""Nutt, Gary J"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), -1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), -1))), Concat(ConstStr("", ""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Alphanumeric"", ""Îµ""), 1))), ConstStr("" J\"""")))))] [Transformation: Gary Nutt transforms to ""Nutt, Gary J""]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RelativePosition(x, 4)))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1))))))"	Practical Model-Based Testing: A Tools Approach->PRAC MODEL-BASED TESTING	Practical Model-Based Testing: A Tools Approach	PRAC MODEL-BASED TESTING	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RelativePosition(x, 4)))), Concat(ConstStr("" ""), let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToUppercase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""WhiteSpace"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1))))))] [Transformation: Practical Model-Based Testing: A Tools Approach transforms to PRAC MODEL-BASED TESTING]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Upper Case""), 1), RegexPositionRelative(x, RegexPair(""Upper Case"", ""Îµ""), 1))), ConstStr(""ractical Model-Based Testing: A Tools Approach""))"	PRAC MODEL-BASED TESTING->Practical Model-Based Testing: A Tools Approach	PRAC MODEL-BASED TESTING	Practical Model-Based Testing: A Tools Approach	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Upper Case""), 1), RegexPositionRelative(x, RegexPair(""Upper Case"", ""Îµ""), 1))), ConstStr(""ractical Model-Based Testing: A Tools Approach""))] [Transformation: PRAC MODEL-BASED TESTING transforms to Practical Model-Based Testing: A Tools Approach]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""WhiteSpaceâ—¦Alphanumeric"", ""Îµ""), 1))), ConstStr(""\"""")))"	"""Utting, Mark Legeard, Bruno""->""Utting, Mark"""	"""Utting, Mark Legeard, Bruno"""	"""Utting, Mark"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""WhiteSpaceâ—¦Alphanumeric"", ""Îµ""), 1))), ConstStr(""\"""")))] [Transformation: ""Utting, Mark Legeard, Bruno"" transforms to ""Utting, Mark""]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))), ConstStr("" Legeard, Bruno\"""")))"	"""Utting, Mark""->""Utting, Mark Legeard, Bruno"""	"""Utting, Mark"""	"""Utting, Mark Legeard, Bruno"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Double Quote""), -1))), ConstStr("" Legeard, Bruno\"""")))] [Transformation: ""Utting, Mark"" transforms to ""Utting, Mark Legeard, Bruno""]"
"Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1)))), ConstStr("".""))"	"""Open Source Web Development with LAMP: Using Linux, Apache, MySQL, Perl, and PHP""->Open Source Web Development With Lamp."	"""Open Source Web Development with LAMP: Using Linux, Apache, MySQL, Perl, and PHP"""	Open Source Web Development With Lamp.	"[Program: Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in ToSimpleTitleCase(SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Double Quote"", ""Îµ""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""Colon""), 1)))), ConstStr("".""))] [Transformation: ""Open Source Web Development with LAMP: Using Linux, Apache, MySQL, Perl, and PHP"" transforms to Open Source Web Development With Lamp.]"
"Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpaceâ—¦Words/dots/hyphensâ—¦WhiteSpace""), -1))), ConstStr("" with LAMP: Using Linux, Apache, MySQL, Perl, and PHP\"""")))"	"Open Source Web Development With Lamp.->""Open Source Web Development with LAMP: Using Linux, Apache, MySQL, Perl, and PHP"""	Open Source Web Development With Lamp.	"""Open Source Web Development with LAMP: Using Linux, Apache, MySQL, Perl, and PHP"""	"[Program: Concat(ConstStr(""\""""), Concat(let columnName = ""0"" in let x = ChooseInput(vs, columnName) in SubStr(x, PosPair(RegexPositionRelative(x, RegexPair(""Îµ"", ""Alphanumeric""), 1), RegexPositionRelative(x, RegexPair(""Îµ"", ""WhiteSpaceâ—¦Words/dots/hyphensâ—¦WhiteSpace""), -1))), ConstStr("" with LAMP: Using Linux, Apache, MySQL, Perl, and PHP\"""")))] [Transformation: Open Source Web Development With Lamp. transforms to ""Open Source Web Development with LAMP: Using Linux, Apache, MySQL, Perl, and PHP""]"
